Menu_num,Menu_name,Menu_ex,Menu,Menu_detail,매콤,담백,국물,고기,채식,야채,과일,시원한
992,후식된장찌개,"야채,두부",한식,된장찌개,False,False,False,False,False,True,False,False
993,버섯추가,버섯,한식,버섯,False,False,False,False,False,False,False,False
994,공기밥,쌀,한식,공기밥,False,False,False,False,False,False,False,False
996,맥주,보리,음료류,맥주,False,False,False,False,False,False,False,False
998,백세주,"인삼,찹쌀",음료류,백세주,False,False,False,False,False,False,False,False
999,복분자,복분자,음료류,복분자,False,False,False,False,False,False,False,False
1000,음료수,음료,음료류,음료수,False,False,False,False,False,False,False,False
1001,막걸리,쌀,음료류,막걸리,False,False,False,False,False,False,False,False
3066,추어탕,"야채,미꾸라지",한식,추어탕,False,False,False,False,False,True,False,False
3067,통추어탕,"야채,미꾸라지",한식,추어탕,False,False,False,False,False,True,False,False
3068,튀김,"야채,밀가루",한식,튀김,False,False,False,False,False,True,False,False
3069,공기밥,쌀,한식,공기밥,False,False,False,False,False,False,False,False
3070,음료수,음료,음료류,음료수,False,False,False,False,False,False,False,False
3072,맥주,보리,음료류,맥주,False,False,False,False,False,False,False,False
3073,막걸리,쌀,음료류,막걸리,False,False,False,False,False,False,False,False
3075,백세주,"인삼,찹쌀",음료류,백세주,False,False,False,False,False,False,False,False
3076,복분자,복분자,음료류,복분자,False,False,False,False,False,False,False,False
3078,산사춘,산사나무열매,한식,산사춘,False,False,False,False,False,False,False,False
3080,카페오레,"우유,에스프레소",제과류,카페,False,False,False,False,False,False,False,False
3081,블루베리 치즈무스,"치즈,블루베리",제과류,블루베리,False,False,False,False,False,False,False,False
3083,포도치즈케이크,"치즈,포도",제과류,케이크,False,False,False,False,False,False,False,False
3084,고구마파이,"고구마,버터,계란,빵,우유,밀가루",제과류,파이,False,False,False,False,False,False,False,False
3085,카페오레,"우유,에스프레소",제과류,카페,False,False,False,False,False,False,False,False
3086,블루베리 치즈무스,"치즈,블루베리",제과류,블루베리,False,False,False,False,False,False,False,False
3088,포도치즈케이크,"치즈,포도",제과류,케이크,False,False,False,False,False,False,False,False
3089,고구마파이,"고구마,버터,계란,빵,우유,밀가루",제과류,파이,False,False,False,False,False,False,False,False
5557,후라이드치킨,"닭고기,밀가루",패스트푸드,후라이드치킨,False,False,False,True,False,False,False,False
5558,닭강정(순살),"닭고기,밀가루",한식,강정,False,False,False,True,False,False,False,False
5559,올리고당양념치킨,"닭고기,밀가루",일식,양념치킨,False,False,False,True,False,False,False,False
5560,매운불양념치킨,"닭고기,밀가루",일식,양념치킨,False,False,False,True,False,False,False,False
5561,슈프림양념치킨,"닭고기,밀가루",일식,양념치킨,False,False,False,True,False,False,False,False
5562,핫슈프림양념치킨,"닭고기,밀가루",일식,양념치킨,False,False,False,True,False,False,False,False
